Symbol,Name
DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF
BIL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF
CJNK,SPDR BofA Merrill Lynch Crossover Corporate Bond ETF
DIA,SPDR Dow Jones Industrial Average ETF
WIP,SPDR Citi International Government Inflation-Protected Bond ET
XAR,SPDR S&P Aerospace & Defense ETF
XBI,SPDR Series Trust  SPDR S&P Biotech ETF
XES,SPDR Series Trust SPDR S&P Oil & Gas Equipment & Services ETF
XHB,SPDR Series Trust SPDR Homebuilders ETF
XHE,SPDR S&P Health Care Equipment
XHS,SPDR S&P Health Care Services ETF
XLB,Materials Select Sector SPDR
XLE,SPDR Select Sector Fund - Energy Select Sector
XLF,SPDR Select Sector Fund - Financial
XLI,SPDR Select Sector Fund - Industrial
XLK,SPDR Select Sector Fund - Technology
XLP,SPDR Select Sector Fund - Consumer Staples
XLU,SPDR Select Sector Fund - Utilities
XLV,SPDR Select Sector Fund - Health Care
XLY,SPDR Select Sector Fund - Consumer Discretionary
XME,SPDR S&P Metals & Mining ETF
XOP,SPDR S&P Oil & Gas Explor & Product
XPH,SPDR S&P Pharmaceuticals ETF
XRT,SPDR S&P Retail ETF
XSD,SPDR S&P Semiconductor ETF
XSW,SPDR S&P Software & Services ETF
XTH,SPDR S&P Technology Hardware ETF
XTL,SPDR S&P Telecom ETF
XTN,SPDR S&P Transportation ETF
XWEB,SPDR S&P Internet ETF
GLD,SPDR Gold Trust
HYMB,SPDR Nuveen S&P High Yield Municipal Bond ETF
IPE,SPDR Bloomberg Barclays TIPS ETF
ITE,SPDR Bloomberg Barclays Intermediate Term Treasury ETF
KBE,SPDR S&P Bank ETF
KCE,SPDR S&P Capital Markets ETF
KIE,SPDR S&P Insurance ETF
KRE,SPDR S&P Regional Banking ETF
LGLV,SPDR SSGA US Large Cap Low Volatility Index ETF
MBG,SPDR Bloomberg Barclays Mortgage Backed Bond ETF
MDY,SPDR MidCap Trust Series I
MDYG,SPDR S&P 400 Mid Cap Growth ETF (based on S&P MidCap 400 Growt
MDYV,SPDR S&P 400 Mid Cap Value ETF (based on S&P MidCap 400 Value
MMTM,SPDR S&P 1500 Momentum Tilt ETF
MTK,SPDR MS Technology
NANR,SPDR S&P North American Natural Resources ETF
ONEK,SPDR Russell 1000 ETF
ONEO,SPDR Russell 1000 Momentum Focus ETF
ONEV,SPDR Russell 1000 Low Volatility Focus ETF
PSK,SPDR Wells Fargo Preferred Stock ETF
QCAN,SPDR MSCI Canada StrategicFactors ETF
QUS,SPDR MSCI USA StrategicFactors ETF
RWR,SPDR DJ Wilshire REIT ETF
SDY,SPDR S&P Dividend ETF
SHE,SPDR Series Trust SPDR SSGA Gender Diversity Index ETF
SHM,SPDR Nuveen Bloomberg Barclays Short Term Municipal Bond ETF
SIPE,SPDR Bloomberg Barclays 0-5 Year TIPS ETF
SLY,SPDR S&P 600 Small Cap ETF (based on S&P SmallCap 600 Index --
SLYG,SPDR S&P 600 Small Cap Growth ETF (based on S&P SmallCap 600 G
SLYV,SPDR S&P 600 Small Cap Value ETF (based on S&P SmallCap Value
SMD,SPDR S&P 1000 ETF
SMLV,SPDR SSGA US Small Cap Low Volatility Index ETF
SPY,SPDR S&P 500
SPYB,SPDR S&P 500 Buyback ETF
SPYD,SPDR S&P 500 High Dividend ETF
SPYG,SPDR S&P 500 Growth ETF (based on S&P 500 Growth Index symbol-
SPYV,SPDR S&P 500 Value ETF (based on S&P 500 Value Index--symbol:
SPYX,SPDR S&P 500 Fossil Fuel Reserves Free ETF
SST,SPDR Bloomberg Barclays Short Term Treasury ETF
SYE,SPDR MFS Systematic Core Equity ETF
SYG,SPDR MFS Systematic Growth Equity ETF
SYV,SPDR MFS Systematic Value Equity ETF
TFI,SPDR Nuveen Bloomberg Barclays Municipal Bond ETF
THRK,SPDR Russell 3000 ETF
TIPX,SPDR Bloomberg Barclays 1-10 Year TIPS
TLO,SPDR Bloomberg Barclays Long Term Treasury ETF
TWOK,SPDR Russell 2000 ETF
VLU,SPDR S&P 1500 Value Tilt ETF
